"id";"description"
1;"Para responder las preguntas siguientes considere las condiciones de su centro de trabajo, así como la cantidad y ritmo de trabajo"
2;"Las preguntas siguientes están relacionadas con las actividades que realiza en su trabajo y las responsabilidades que tiene"
3;"Las preguntas siguientes están relacionadas con el tiempo destinado a su trabajo y sus responsabilidades familiares"
4;"Las preguntas siguientes están relacionadas con las decisiones que puede tomar en su trabajo"
5;"Las preguntas siguientes están relacionadas con la capacitación e información que recibe sobre su trabajo"
6;"Las preguntas siguientes se refieren a las relaciones con sus compañeros de trabajo y su jefe"
7;"Las preguntas siguientes están relacionadas con la atención a clientes y usuarios"
8;"Las siguientes preguntas están relacionadas con las actitudes de los trabajadores que supervisa"
9;"Para responder las preguntas siguientes considere las condiciones ambientales de su centro de trabajo"
10;"Para responder a las preguntas siguientes piense en la cantidad y ritmo de trabajo que tiene"
11;"Las preguntas siguientes están relacionadas con el esfuerzo mental que le exige su trabajo"
12;"Las preguntas siguientes están relacionadas con las actividades que realiza en su trabajo y las responsabilidades que tiene"
13;"Las preguntas siguientes están relacionadas con su jornada de trabajo"
14;"Las preguntas siguientes están relacionadas con las decisiones que puede tomar en su trabajo"
15;"Las preguntas siguientes están relacionadas con cualquier tipo de cambio que ocurra en su trabajo (considere los últimos cambios realizados)"
16;"Las preguntas siguientes están relacionadas con la capacitación e información que se le proporciona sobre su trabajo"
17;"Las preguntas siguientes están relacionadas con el o los jefes con quien tiene contacto"
18;"Las preguntas siguientes se refieren a las relaciones con sus compañeros"
19;"Las preguntas siguientes están relacionadas con la información que recibe sobre su rendimiento en el trabajo, el reconocimiento, el sentido de pertenencia y la estabilidad que le ofrece su trabajo"
20;"Las preguntas siguientes están relacionadas con actos de violencia laboral (malos tratos, acoso,hostigamiento, acoso psicológico)"
21;"Las preguntas siguientes están relacionadas con la atención a clientes y usuarios"
22;"Las preguntas siguientes están relacionadas con las actitudes de las personas que supervisa"
