"id";"dimension"
1;"Condiciones peligrosas e inseguras"
2;"Condiciones deficientes e insalubres"
3;"Trabajos peligrosos"
4;"Cargas cuantitativas"
5;"Ritmos de trabajo acelerado"
6;"Carga mental"
7;"Cargas psicológicas emocionales"
8;"Cargas de alta responsabilidad"
9;"Cargas contradictorias o inconsistentes"
10;"Falta de control y autonomía sobre el trabajo"
11;"Limitada o nula posibilidad de desarrollo"
12;"Insuficiente participación y manejo del cambio"
13;"Limitada o inexistente capacitación"
14;"Jornadas de trabajo extensas"
15;"Influencia del trabajo fuera del centro laboral"
16;"Influencia de las responsabilidades familiares"
17;"Escaza claridad de funciones"
18;"Características del liderazgo"
19;"Relaciones sociales en el trabajo"
20;"Deficiente relación con los colaboradores que supervisa"
21;"Violencia laboral"
22;"Escasa o nula retroalimentación del desempeño"
23;"Escaso o nulo reconocimiento y compensación"
24;"Limitado sentido de pertenencia"
25;"Inestabilidad labora"
